,index,content,score,sentiment,preprocessed
10,3010,"Untuk aplikasi ini menerut saya punya rate yg bagus, krna banyak Skali event aidrop yg bisa menguntungkan bagi para nasabah pengguna itu sendiri. Selain kelebihan ada kekurangan dan untuk toko kripto ini punya beberapa kekurangan Menurut saya seperti, belum bisa dihubungi lewat telpon, costumer support yg kurang responsif yg agak mempersulit pendaftaran kyc bagi pengguna baru, serta tolong konveksi penukaran yg ada di tko ini segera di perbaiki agar bisa mempermudah para nasabah. terimakasih",4,positive,aplikasi menerut rate bagus event aidrop untung nasabah toko kripto hubung telepon costumer support responsif sulit daftar kyc tolong konveksi tukar tko mudah nasabah terima kasih
11,3011,"Untuk sementara saya kasih bintang 4, agar TokoCrypto semakin berbenah untuk menjadi yang terbaik. Hal yang mesti dibenahi adalah biaya transaksi semestinya dapat lebih murah lagi. Yang kedua soal kecepatan transaksi harus lebih ditingkatkan dan penangan setiap masalah hendaknya lebih cepat terselesaikan.",4,positive,kasih bintang tokocrypto benah mesti benah biaya transaksi mesti murah cepat transaksi tingkat nang cepat selesai
12,3012,"App ini dari segi UI sangat mudah untuk digunakan. Dari fitur yang ditawarkan juga lumayan lengkap dari market spot sampai ETF juga ada, namun belum memiliki fitur derivatif, juga margin spot. Overall app ini bagus jika dibandingkan dengan exchanger dari Indonesia lainnya.",4,positive,app segi oi mudah fitur tawar lumayan lengkap market spot etf milik fitur derivatif margin spot overall app bagus banding exchanger indonesia
13,3013,"Penarikan ok, cuma hitungan menit masuk ke rekening saya (jam 2:40 wib)👍 Pertama kali pake google autentikator agak keder (grogi+kuatir uang gak bisa ditarik/akun jadi bermasalah) 😅😎 Kekurangannya cuma pada update saldo setelah transakasi jualnya, kadang gak sesuai. Satu lagi, variasi koin/tokennya kurang banyak 😅",4,positive,tari oke hitung menit rekening jam waktu indonesia barat pakai google autentikator keder grogi kuatir uang tarik akun saldo transakasi jual kadang sesuai variasi koin tokennya
14,3014,"Semua bagus, tampilan yang simple dan mudah dipahami pemula. Namun, Saldo Portofolio yang kita miliki tidak realtime, yang artinya selalu di refresh biar terus update saldo portofolio sendiri. Saya harap saldo portofolio yang ditampilkan realtime dan tidak selalu diresfresh ulang. Terimakasih",4,positive,bagus tampil simple mudah paham saldo portofolio milik realtime refresh biar saldo portofolio harap saldo portofolio tampil realtime diresfresh ulang terima kasih
15,3015,"Tokocrypto sudah bagus cuman perlu dilakukan pengembangan dan tambahan seperti list coin mungkin perlu diperbanyak, dan juga mengenai setting indikator yang tidak ada dan juga saya juga berpendapat bahwa alangkah baiknya tokocrypto meminimalisir kesan binance pada ui dengan memberi inovasi mengenai menu menu atau tampilan. Walau tokocrypto memang berhubungan dengan Binance. Hal ini penting dalam memantapkan branding tokocrypto itu sendiri. Sekian kritik dan saran. Terimakasih",4,positive,tokocrypto bagus kembang list coin setting indikator alangkah tokocrypto meminimalisir kesan binance oi inovasi menu menu tampil tokocrypto hubung binance mantap branding tokocrypto sekian kritik saran terima kasih
16,3016,"Sudah instal di 2 device, android dan iphone, secara keseluruhan memuaskan, tapi untuk aplikasi android ada 1 kesalahan fatal di konversi total asetnya, saat dibandingkan langsung di 2 device dengan akun yg sama, jumlah total asetnya beda hampir 2jt rupiah, kapan versi androidnya di benerin?",4,positive,instal device android iphone muas aplikasi android salah fatal konversi total aset banding device akun total aset beda juta rupiah versi androidnya
17,3017,untuk tampilan aplikasi udh good. Saran untuk menu utama (HOME) tolong disajikan top gainers dan top losser. untuk mempermudah trader mengetahui lonjakan harga dan penurunan harga secara signifikan. paling tidak top 10 gainers dan top 10 losser dalam tampilan. Saran yang ke2. tampilan perdagangan langsung tolong disediakan dimeu bar paling bawah. jadi menu di tampilan paling bawah memiliki tampilan HOME - PASAR - PERDAGANGAN - ORDER - DOMPET,4,positive,tampil aplikasi good saran menu utama home tolong saji top gainers top losser mudah trader lonjak harga turun harga signifikan top gainers top losser tampil saran tampil dagang tolong sedia dimeu bar menu tampil milik tampil home pasar dagang order dompet
18,3018,"Agak laload, terkadang keluar sendiri,dan selalu sudah untuk login via aplikasi",4,positive,laload terkadang login via aplikasi
19,3019,"Saya pakai aplikasi ini sdh cukup lama, UI nya cukup mudah di pahami. Deposit dan penarikan jg mudah dan cepat. Tp setelah sy update aplikasi ke versi terbaru ini, malah blank. Mhn di perbaiki aplikasi nya... Device sy Samsung Galaxy Note 10+",4,positive,pakai aplikasi oi mudah paham deposit tari mudah cepat aplikasi versi blank mhn aplikasi device samsung galaxy note
20,3020,Tokocrypto app yg bagus untuk investasi crypto.aman dan mudah untuk digunakan,4,positive,tokocrypto app bagus investasi crypto aman mudah
21,3021,"Tolong dong buat update nya, masalah penambahan akun di penarikan, masalahnya saya menggunakan Bank J***, jadinya nggak bisa penarikan nihh🙂🙏",4,positive,tolong akun tari bank tari nih
22,3022,Bagus sih tapi ketika ada perubahan IDR ke BIDR kurang cepat malah muter2 keburu harga naik...,4,positive,bagus sih ubah rupiah bidr cepat puter keburu harga
23,3023,"Sejauh ini sudah bagus sih, tapi tolong dipermudah untuk log in nya. Binance aja ndak perlu pass. Ini udah sering ke log out otomatis. Mau masuk juga ribet, trading tu pakek momentum, kalau momentumnya udah ilang karena aplikasi sering keluar sendiri mah susah jadinya",4,positive,bagus sih tolong mudah log in binance pas log out otomatis ribet trading pakai momentum momentum hilang aplikasi susah
24,3024,Udah oke apknya cuma masih kurang di send ke wallet feenya masih terlalu mahal untuk transaksi kecil,4,positive,oke apknya send wallet feenya mahal transaksi
25,3025,"Excellence 👍👍 Berdasarkan pengalaman : 1. Transaksi yang sangat mudah, 2. UI simple dan mudah 3. Memiliki banyak Fitur dibanding exchange indo lainnya 4. Maintenence aplikasi jarang 5. Fee trading/fee transaksi yang murah 6. Support by BINANCE, certainly use BSC system, (this is important) Saran : Bintang 5 pasti, jika Tokocrypto bisa deposit IDR(rupiah) dan Saat launching Toko Token (TKO) akan diuji big transaction,hope tidak terjadi error ataupun lag. Go No.1 indo crypto exchange 🙏🙏",4,positive,excellence dasar alam transaksi mudah oi simple mudah milik fitur banding exchange indonesia maintenence aplikasi jarang fee trading fee transaksi murah support by binance certainly use bsc sistem this is important saran bintang tokocrypto deposit rupiah rupiah launching toko token tko uji transaction hope error lag go no indonesia crypto exchange
26,3026,"Aplikasi nya udah bagus mudah dipahami bagi masyarakat yang awam, fee setoran dan penarikan nya pun termasuk murah tetapi kenapa fitur konversi saldo kecil ke TKO nya tidak bisa digunakan? Apakah sudah tidak tersedia lagi atau hanya sedang dalam perbaikan? Dan kenapa fitur transfer ke binance nya tidak semua coin/toke yang support?",4,positive,aplikasi bagus mudah paham masyarakat awam fee setor tari murah fitur konversi saldo tko sedia fitur transfer binance coin toke support
27,3027,Aplikasi nya sudah bagus dan tampilannya cukup simpel. Enak di lihat.. tapi terkadang untuk penampilan harga suka delay dan itu cukup membuat bingung. Mohon untuk di perbaiki lagi. #salamtothemoon,4,positive,aplikasi bagus tampil simpel terkadang tampil harga suka delay bingung salamtothemoon
28,3028,Mohon diperbaiki karena saya sering kali mengalami bug ketika mau membatalkan pesanan jual ataupun beli dengan status prosessing terus dan tak bisa di apa-apain baik itu di app maupun di versi Web nya hasilnya sama saja. Terima kasih,4,positive,alami bug batal pesan jual beli status prosessing app versi web hasil terima kasih
29,3029,"Semuanya sudah bagus menurut saya,! cuman di tampilan UI nya kurang enak di lihat, karena tampilan tulisan font nya terlalu besar, kalo update tolong agak diperkecil min",4,positive,bagus tampil oi tampil tulis font tolong min
30,3030,"Tokocrypto ini appnya cukup menarik, karna bisa langsung top up secara rupiah tanpa perlu melakukan transaksi P2P seperti binance. Tetapi bank yang digunakan untuk melakukan top up masih terkesan kurang, semoga kedepannya berbagai jenis bank dapat melakukan top up menggunakan virtual account ke Tokocrypto sehingga nasabah tidak terkena biaya admin. Kemudia untuk tampilannya lumayan menarik dan sederhana jadinya tidak memusingkan pengguna",4,positive,tokocrypto aplikasinyya tarik top up rupiah transaksi pp binance bank top up kes moga jenis bank top up virtual account tokocrypto nasabah biaya admin kemudia tampil lumayan tarik sederhana pusing
31,3031,"tolong tambahkan fitur untuk nganalisa marketnya di mobile, agar saya gk susah buat buka di webnya untuk narik2 trenya... di mobile cuman tersedia untuk indikator saja, gak ada untuk tren line ataupun horizontal linenya... mohon di tambah agar bisa seperti di webnya... makasih 🙂",4,positive,tolong fitur nganalisa marketnya mobile susah buka webnya tarik trenya mobile sedia indikator tren line horizontal linenya webnya terima kasih
32,3032,"Saya kasih bintang 4 soalnya aplikasinya sering mengatakan tidak ada data pada saat kita akan melihat dompet ataupun informasi pasar, dan parahnya lagi untuk fitur konversi koin kecil tidak dapat dipakai, selalunya transaksi dihentikan, tolong ditingkatkanlagi",4,positive,kasih bintang aplikasi data dompet informasi pasar parah fitur konversi koin pakai transaksi henti tolong ditingkatkanlagi
33,3033,"MANTAPPPPPP aplikasi simpel mudah dipahami dan juga aman untuk digunakan . Daftar saja sekarang juga dan gunakan koodee reefeeraal nya ""34ZP6XW6"" agar proses Kyc cepat dan juga Cuan terus .. terimakasih Tokocrypto , salam sukses ya !.............................................................................",4,positive,mantapppppp aplikasi simpel mudah paham aman daftar koodee reefeeraal zpxw proses kyc cepat cuan terima kasih tokocrypto sukses
34,3034,"Akhir akhir ini Data latar belakang jadi boros. tutup alikasi jam 11 malem.d tinggal tidur . ak cek d notifikasi penggunaan data ,pagi nya Kuota internet berkurang 4Gb. .ngebug apa ya.? dulu nggak gini2 amat...",4,positive,data latar boros tutup alikasi jam malam tinggal tidur cek notifikasi data pagi kuota internet gb ngebug
35,3035,"Tolong UI & UX nya ditingkatkan lagi, supaya para pengguna bisa lebih betah lihatnya. Kalo bisa hadirkan fitur lite seperti di binance.",4,positive,tolong oi ux tingkat betah hadir fitur lite binance
36,3036,Aplikasi bagus fee trading dikit banyak bonus nya tapi kalo bisa saldo kecil bisa dikonversi jdi gak berceceran sbg ganti penjualan yg tdak bisa 100% semoga bisa lebih baik lagi sehingga jdi exchange no 1 di Indonesia tentunya..,4,positive,aplikasi bagus fee trading bonus saldo konversi cecer ganti jual moga exchange no indonesia
37,3037,"Kelebihan:Tema aplikasi bagus, suka sama tone warnanya, Indikator Chart jg sangat membatu sudah jadi default Kekurangan: pada saat klik Coin tambah riwayat pesanan kita, tambah menu edit price orderbook",4,positive,tema aplikasi bagus suka tone warna indikator chart batu default klik coin riwayat pesan menu edit price orderbook
38,3038,"Biaya deposit, trading, dan withdraw BIDR atau crypto tergolong murah daripada exchange lain. Pilihan aset crypto lengkap, walaupun pairingnya rata-rata menggunakan mata uang selain BIDR, namun tidak masalah menurut saya. Dari semua kelebihan tersebut, menurut saya exchange ini masih memiliki kekurangan. Kekurangannya yaitu seperti tidak bisa melihat jumlah/persentasi laba/rugi, integrasi antara aplikasi mobile dan web yang kurang (di Binance, jika ingin masuk ke web bisa menggunakan QR code).",4,positive,biaya deposit trading withdraw bidr crypto golong murah exchange pilih aset crypto lengkap pairingnya rata rata uang bidr exchange milik persentasi laba rugi integrasi aplikasi mobile web binance web qr code
39,3039,"Sudah sangat bagus, biaya penarikan terjangkau, banyak pilihan koin. Hanya saja saya kurang suka dengan saldo yang tercecer di beberapa koin dan jika diakumulasikan jumlahnya lumayan. Untuk ditarik pun jg tidak bisa.Mohon pihak tokocrypto dapat memperhatikan soal itu.",4,positive,bagus biaya tari jangkau pilih koin suka saldo cecer koin akumulasi lumayan tarik tokocrypto perhati
40,3040,"Kemaren saya mau indetifikasi data. Udah unggah ktp data pribadi dan livenes test unggahan gagal. Terus saya coba lagi hari ini kok pas unggah data ktp gak bisa masuk ada tulisan ""pengiriman kyc salah"" . Saya mau identifikasi supaya bs deposit. Tolong diperbaiki. Terima kasih",4,positive,kemarin indetifikasi data unggah kartu tanda duduk data pribadi livenes tes unggah gagal coba pas unggah data kartu tanda duduk tulis kirim kyc salah identifikasi deposit tolong terima kasih
41,3041,Aplikasi cukup aksisibel buat pengguna dengan hambatan pengelihatan berat tapi untuk lock in tombol pazel tidak ke baca google talk beck atau screen Reader pembaca layar mungkin bisa ditingkatkan lagi fiturnya tapi cukup mantaplah buat jadi infestor,4,positive,aplikasi aksisibel hambat berat lock in tombol pazel baca google talk beck screen reader baca layar tingkat fiturnya mantap infestor
42,3042,"Tokocrypto sangat bagus dan keren, tampilan perdagangan mudah dipahami, tetap seperti ini jangan diubah-ubah. Satu saran yang penting, tolong tambahkan Seabank dan E-wallet untuk penarikan. Jika sudah ada, bintang full 5 Star.",4,positive,tokocrypto bagus keren tampil dagang mudah paham ubah ubah saran tolong seabank wallet tari bintang full star
43,3043,"2 minggu yang lalu saya lulus kyc tapi itu juga seperti hoki-hokian karena di chance terakhir saya lolos. Waktu verifikasi bagian wajah yang disuruh mengikuti gerakan. Kualitas kamera menjadi buram padahal pas buka kamera hp bagus, dan juga pada waktu mengikuti gerakan sepertinya komputer kurang bisa mengenali gerakan wajah seperti bekedip dan tersenyum. Kalau bisa diperbaiki sistem verifikasi, saya lihat review bintang 1 kebanyakan mempermasalahkan verifikasi kyc yang sulit, terimakasih.",4,positive,minggu lulus kyc hoki hoki chance lolos waktu verifikasi wajah suruh gera kualitas kamera buram pas buka kamera handphone bagus waktu gera komputer nali gera wajah bekedip senyum sistem verifikasi review bintang verifikasi kyc sulit terima kasih
44,3044,"Aplikasinya sudah bagus. No lag. tapi masih ada 1 kekurangan. Tolong fitur konversi saldo kecil nya diperbaiki. Sayang, lumayan banyak yg tersisa saat jual beli. Sudah beberapa bulan ini masih belum ditindaklanjuti",4,positive,aplikasi bagus no lag tolong fitur konversi saldo sayang lumayan sisa jual beli ditindaklanjuti
45,3045,"Aplikasi TokoCrypto sangat membantu untuk orang Indonesia, karena fee penarikan yang sangat murah cepat. Hanya satu kekurangan saat ini yaitu saldo kecil konversi ke TKO masih belum berfungsi. Tolong pihak TokoCrypto untuk membukanya lagi. Thanks.",4,positive,aplikasi tokocrypto bantu indonesia fee tari murah cepat saldo konversi tko fungsi tolong tokocrypto buka terima kasih
46,3046,"aplikasi trading crypto yang friendly user, cara pengoperasian mudah, coin cukup banyak, jarang terjadi koneksi lost, tampilan cukup baik. Mohon diperbanyak untuk coin yang bisa di staking/lock, ditunggu update menarik lainnya,",4,positive,aplikasi trading crypto friendly operasi mudah coin jarang koneksi lost tampil coin staking lock tunggu tarik
47,3047,"Sekarang tokocrypto tiap menggunakan aplikasi bisa dibilang sering nge hang jd musti bolak balik install ulang , kenapa ya? Tolong di re upgrade lagi aplikasi nya untuk admin tolong dibantu.. trima kasih.",4,positive,tokocrypto aplikasi bilang nge hang bolak install ulang tolong re tingkat aplikasi admin tolong bantu terima kasih
48,3048,Kenapa saat verifikasi klik kirim susah,4,positive,verifikasi klik kirim susah
49,3049,Aplikasinya sih bagus cuma ada kekurangannya...gak ada fitur staking coin lain dan gak ada fitur penarikan lewat ewallet...semoga kedepannya bisa lebih lengkap,4,positive,aplikasi sih bagus fitur staking coin fitur tari ewallet moga lengkap
50,3050,"Ada bug setelah di perbaharui pada aplikasi saya saat mau menukar ke Crypto lainnya, listnya ndk muncul semua, semisal dari btc ke gala. Lalu saya tidak bisa mengkonfersi saldo kecil ke tko. Mohon diperbaiki terimakasih",4,positive,bug baharu aplikasi tukar crypto listnya muncul btc gala mengkonfersi saldo tko terima kasih
51,3051,"tampilannya bagus mudah di gunakan juga untuk trading,, bagus untuk pemula seperti saya untuk menggunakan aplikasi ini,, sucses buat tokcrypto di tingkatkan lagi seperti ada staking dan lain2",4,positive,tampil bagus mudah trading bagus aplikasi sukses tokcrypto tingkat staking
52,3052,"App nya sudah sangat bagus, ramah, dan mudah di mengerti, deposit juga bisa pakai bank dan e wallet, karena ada beberapa orang yang belum punya rekening . Jadi deposit dengan e wallet sangat bermanfaat. Banyak koin crypto yang tersedia, dan ada fitur TKO lock yang berguna untuk passiv income bagi yang ingin bermain aman. Proses depo dan withdraw cuku cepat 1×24 jam, tetapi ada sedikit kekurangan yaitu fitur konversi yang telah dihentikan dan ada batasan jumlah coin yang harus diperdagangkan.",4,positive,app bagus ramah mudah erti deposit pakai bank wallet rekening deposit wallet manfaat koin crypto sedia fitur tko lock passiv income main aman proses depo withdraw cuku cepat jam fitur konversi henti batas coin dagang
53,3053,"Aplikasi yang cukup bagus untuk menambah pendapatan sampingan saya . Walaupun tdk ada aplikasi yang sempurna , tetapi pelayananya Begitu memuaskan . Dan pengalamanya saya menggunkaan aplikasi ini cukup mudah dan simple . Aplikasi terbaik tdk akan pernah bohong . Terimakasih",4,positive,aplikasi bagus samping aplikasi sempurna pelayananya muas alam menggunkaan aplikasi mudah simple aplikasi bohong terima kasih
54,3054,"1. tambahkan fitur withdraw ke e-wallet. 2. fitur: saldo konversi kecil di selesaikan update nya agar tidak terjadi penumpukan. 3. Banyakin event supaya ramai. 4. Kerja sama dengan airdrop yang lain kalo bisa. 5. Buat projek baru atau ikut projek: seperti game,metaverse dll. 6. Tambahkan pembayaran cartu credit supaya orang asing tertarik. 7. Service di tingkatkan lagi. 8. fee inchanger di per murah.",4,positive,fitur withdraw wallet fitur saldo konversi selesai tumpu event ramai airdrop projek projek game metaverse bayar cartu credit asing tarik service tingkat fee inchanger murah
55,3055,Tolong benerin donk konversi saldo kecil. Sampai sekarang menu ini gak bisa di pake. Gak guna menu konversi saldo kecil kalau gak bisa di pake smpe skrng.,4,positive,tolong konversi saldo menu pakai menu konversi saldo pakai
56,3056,"gunakan refral kode L A 5 5 Z B D 2 untuk melengkapi proses pendaftaran dan afar akun kalian terverifikasi dan aktif terus,setelah diupdate fiturnya semakin lengkap,ada banyak fitur baru yang membantu para trader memaksimalkan cuan,brasa sat set gitu pindah'' nya karena respon banget ke sinyal susah pun bisa lancar dibukanya fiturnya ada tersedia histori pnl real timenya juga,terdebest pokoknya wajb di instal",4,positive,refral kode lengkap proses daftar afar akun verifikasi aktif diupdate fiturnya lengkap fitur bantu trader maksimal cuan asa sat set pindah respon banget sinyal susah lancar buka fiturnya sedia histori pnl real timenya terdebest pokok wajb instal
57,3057,sepertinya masih ada bug.. sering sekali error saat membatalkan order jual atau beli.. sangat mengganggu.. !! semoga diperbaiki lebih cepat,4,positive,bug error batal order jual beli ganggu moga cepat
58,3058,"Kalau untuk nomor dukungan yang bisa dihubungi berapa ya min? Soalnya udah transfer, transaksi berhasil tapi saldo belum bertambah.",4,positive,nomor dukung hubung min transfer transaksi hasil saldo
59,3059,"Maaf min, kenapa setelah di upgrade seling reload terus ya saat geser kebawah di aplikasinya.. Mohon diperbaiki ya min.. Terutama masalah lag dan konversi koin kecil ke TKO. Semoga TKO bisa pump 4$ tahun depan.. Aamiin😁",4,positive,maaf min tingkat seling reload geser aplikasi min utama lag konversi koin tko moga tko pump tahun amin
60,3060,"Cuman satu kurang nya, peoses wd gabisa langsung set set , harus nunggu beberapa menit, kadang sampe 1 jam , teruspas beli beberapa crypto juga pending agak lama (kadang) padahal perubahan harva pasar cepet",4,positive,peoses wd set set tunggu menit kadang jam teruspas beli crypto pending kadang ubah harva pasar cepat
61,3061,Saya agak kecewa sebab saya coba setor dengan nominal kecil 3x pertama saja yang masuk. Kedua dan ketiga saldonya ga masuk..kan jd ragu.,4,positive,kecewa coba setor nominal saldo ragu
62,3062,"Applikasi sudah bagus, tinggal di kembangkan lagi dari segi keamanan. Contohnya sebelum membuka applikasi di buat memasukann code/menggunakan finggerprint. Semoga kedepannya bisa terealisasikan.",4,positive,aplikasi bagus tinggal kembang segi aman contoh buka aplikasi memasukann code finggerprint moga realisasi
63,3063,"Woo, kreennn ,,, ini aplikasi luar biasa dan sangat ringan, simpel , muda di pahami apalagi bagi pemula,, banyak bonus dari even yg di sediakan..Tokocrypto the best..👍👍👍",4,positive,uhuy kreennn aplikasi ringan simpel muda paham bonus even sedia tokocrypto the best
64,3064,"isi identifikasi otentifikasi data sudah bener semua ko gak bisa terus yaa.. ""Data anda tidak di temukan di dukcapil, cek kembali nik, nama dan tgl lahir anda"" padahal data sudah komplit bener semua,, mohon solusi admint!!!",4,positive,isi identifikasi otentifikasi data data temu dukcapil cek nik nama tanggal lahir data komplit solusi admint
65,3065,"Untuk TokoCrypto sudah bagus sangat user friendly, hanya untuk meningkatkan kenyamanan pengguna tambahkan berapa keuntungan/kerugian dalam portfolio dari setiap koin yang di simpan oleh investor, itu sangat penting saya kira Terima kasih ------------------------------------- Maaf untuk kode verifikasi selularnya untuk login sudah 24jam ini ga bisa mengirim kode otomatis sudah berulang kali mencoba kirim ulang tapi kode tidak didapatkan dan akhirnya tidak login ke akun saya, mohon diperbaiki",4,positive,tokocrypto bagus friendly tingkat nyaman untung rugi portfolio koin simpan investor terima kasih maaf kode verifikasi selularnya login jam kirim kode otomatis ulang coba kirim ulang kode login akun
66,3066,Sejauh ini Tokocrypto bagus. Hanya saja hasil penjualan tidak bisa di NOL kan seperti app sebelah. Memang ada konversi tapi sekarang Sangat di sayangkan konversi saldo kecil ke TKO sudah 1bulan tidak bisa. Tolong segera di perbaiki.,4,positive,tokocrypto bagus hasil jual nol app belah konversi sayang konversi saldo tko tolong
67,3067,"Bintang 4 merupakan penilaian yang berimbang..ui nya enak digunakan, memakai sistem dari binance,terdaftar di bapeti, roadmap dan community managementnya terukur. Minusnya masih di appnya kadang eror,lama untuk kyc,kesulitan untuk menghubungi cs,sisa saldo untuk trade kebanyakan -Semangat terus untuk tim tokocrypto melalui tko token semoga memberikan alternatif finansial untuk banyak orang-",4,positive,bintang nilai imbang oi pakai sistem binance daftar bapet roadmap community managementnya ukur minus aplikasinyya kadang eror kyc sulit hubung rekan sisa saldo trade semangat tim tokocrypto tko token moga alternatif finansial
68,3068,"Tampilan bagus, mudah digunakan untuk pemula. Semoga terus berkembang. Untuk konversi koin kecil ke TKO harap tetap berjalan, jd pengguna punya pilihan mau konversi atau tidak. Lebih bagus jika konversi tidak hanya ke TKO",4,positive,tampil bagus mudah moga kembang konversi koin tko harap jalan pilih konversi bagus konversi tko
69,3069,"Kelebihan 1. Tampilah mudah dipahami bagi pemula 2. Bisa deposit pakai E-wallet 3. Biaya fee transaksi dan WD yang murah 4. Ada fitur staking 5. Fitur lengkap ( limit,OCO,stop lose,order pasar) 6.simple 7. Bisa WD ke binance secara gratis 8. Sudah ada fitur konversi : ) 9. Banyak koin /token yang bisa ditradingkan. Kekurangan 1. Sering maintenance 2. CS slow respon 3. Hanya TKO yg bsa di staking 4. Hanya ada spot trading, tak ada futures 5. Kalau di app grafik chart dan indikator terbatas",4,positive,tampi mudah paham deposit pakai wallet biaya fee transaksi wd murah fitur staking fitur lengkap limit oco stop lose order pasar simple wd binance gratis fitur konversi koin token ditradingkan maintenance rekan slow respon tko staking spot trading app grafik chart indikator batas
70,3070,"Sebelumnya jangan lupa pake kode ini buat yang baru download ""350551"" Tokocrypto salah satu exchange Indonesia yg udh di awasi oleh bappeti lo jadi bukan scam, banyak fitur2 yang udh sekelas sama exchange2 luar negri apalagi ada yang namanya fitur konvert coin kecil itu berguna banget dan deposit atau penarikan BIDRnya juga murah dan gampang cocok deh buat pemula2 yang mau dapet cuan, semoga kedepannya bisa lebih baik lagi buat tokocrypto",4,positive,lupa pakai kode unduh tokocrypto salah exchange indonesia awas bappeti scam fitur kelas exchange negeri nama fitur konvert coin banget deposit tari bidrnya murah gampang cocok deh cuan moga tokocrypto
71,3071,maaf tokocrypto saya mau bertanya.. kenapa saya mau masuk akun tokocripto tidak bisa.. ? trus ada tulisan kesalahan data.. sedangkan dari kemarin kemarin hingga jam 15.00 tadi lancar kenapa sekarang malah bermasalah? mohon segera di perbaiki.. trimakasih,4,positive,maaf tokocrypto akun tokocripto tulis salah data kemarin kemarin jam lancar terima kasih
72,3072,"Aplikasi yang sangat simpel digunakan buat pemula seperti saya. Jenis crypto yang diperdagangkan juga berizin resmi & beragam. biaya transaksi yang murah + banyak promo2 menarik, jadi semakin nyaman trading di aplikasi ini 👍👍👍",4,positive,aplikasi simpel jenis crypto dagang izin resmi agam biaya transaksi murah promo tarik nyaman trading aplikasi
73,3073,Semua sudah bagus.. Cuma tolong konversi saldo kecil diberlakukan lagi laa sudah berapa bulan katanya perbaikan dan smpai sekarang tidak bisa. Konversi saldo kecil tapi klau di gabungin yaa lumayan jugaa,4,positive,bagus tolong konversi saldo konversi saldo gabungin lumayan
74,3074,"Kekurangannya tiap order buy/sell udah ke exe, tp saldo tdk lngsung muncul, di order masih muncul aja.. dicancel ga bisa.. lambaaaaaaat bgt, ngehambat bgt, harus keluar app atau nunggu dulu beberapa menit baru ada saldonya, mohon perbaiki ya",4,positive,order buy sell exe saldo muncul order muncul dicancel lambaaaaaaat banget ngehambat banget app tunggu menit saldo
75,3075,"luar biasa dalam menghadapi customer, user interface yang sangat friendly dan kontras, serta memberikan user experience yang sangat bagus, memudahkan user dalam belajar hal baru. bravo tokocrypto!!!",4,positive,customer interface friendly kontras experience bagus mudah ajar bravo tokocrypto
